"Meter Serial","Meter Name","Timestamp","Date","Day","Time","TOU","Week ","Cumulative ImpWh","ImpkWh","Ptot","Stot","Cumulative ExpWh","ExpkWh","PFtot","MD","Qtot","Epoch"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 00:00:00","2023-01-01","Sunday","00-00-00","Off-Peak","1","124687000.000","16.5040","16.4994","19.715975","650600.0000","0.0000","0.8369","19.436","-10.7930","1672524009"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 01:00:00","2023-01-01","Sunday","01-00-00","Off-Peak","1","124703200.000","16.2000","16.2090","19.650021","650600.0000","0.0000","0.8249","19.857","-11.1082","1672527607"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 02:00:00","2023-01-01","Sunday","02-00-00","Off-Peak","1","124720000.000","16.8000","16.7953","20.131300","650600.0000","0.0000","0.8343","20.516","-11.0989","1672531208"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 03:00:00","2023-01-01","Sunday","03-00-00","Off-Peak","1","124737600.000","17.6000","17.6000","20.860911","650600.0000","0.0000","0.8437","20.516","-11.1990","1672534808"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 04:00:00","2023-01-01","Sunday","04-00-00","Off-Peak","1","124772600.000","35.0000","35.0000","36.628699","650600.0000","0.0000","0.9555","37.340","-10.8010","1672538408"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 05:00:00","2023-01-01","Sunday","05-00-00","Off-Peak","1","124808104.000","35.5040","35.5040","37.081028","650600.0000","0.0000","0.9575","37.755","-10.6990","1672542008"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 06:00:00","2023-01-01","Sunday","06-00-00","Off-Peak","1","124842296.000","34.1920","34.1920","35.826826","650600.0000","0.0000","0.9544","36.836","-10.6990","1672545608"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 07:00:00","2023-01-01","Sunday","07-00-00","Off-Peak","1","124876200.000","33.9040","33.9040","35.523001","650600.0000","0.0000","0.9544","35.579","-10.6020","1672549208"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 08:00:00","2023-01-01","Sunday","08-00-00","Off-Peak","1","124909200.000","33.0000","33.0000","34.599399","650600.0000","0.0000","0.9538","35.420","-10.3980","1672552808"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 09:00:00","2023-01-01","Sunday","09-00-00","Off-Peak","1","124942296.000","33.0960","33.0960","34.690973","650600.0000","0.0000","0.9540","34.691","-10.3980","1672556408"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 10:00:00","2023-01-01","Sunday","10-00-00","Off-Peak","1","124975400.000","33.1040","33.0948","34.660033","650600.0000","0.0000","0.9548","34.710","-10.2981","1672560009"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 11:00:00","2023-01-01","Sunday","11-00-00","Off-Peak","1","125008896.000","33.4960","33.5053","35.084016","650600.0000","0.0000","0.9550","35.082","-10.4059","1672563608"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 12:00:00","2023-01-01","Sunday","12-00-00","Off-Peak","1","125042200.000","33.3040","33.3040","34.859203","650600.0000","0.0000","0.9554","35.082","-10.2960","1672567208"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 13:00:00","2023-01-01","Sunday","13-00-00","Off-Peak","1","125072600.000","30.4000","30.3916","32.459251","650600.0000","0.0000","0.9363","34.934","-11.3998","1672570809"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 14:00:00","2023-01-01","Sunday","14-00-00","Off-Peak","1","125099296.000","26.6960","26.7034","28.768121","650600.0000","0.0000","0.9282","31.078","-10.7020","1672574408"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 15:00:00","2023-01-01","Sunday","15-00-00","Off-Peak","1","125133200.000","33.9040","33.9040","35.899092","650600.0000","0.0000","0.9444","35.898","-11.8010","1672578008"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 16:00:00","2023-01-01","Sunday","16-00-00","Off-Peak","1","125166104.000","32.9040","32.9040","34.599737","650600.0000","0.0000","0.9510","35.898","-10.6990","1672581608"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 17:00:00","2023-01-01","Sunday","17-00-00","Off-Peak","1","125186800.000","20.6960","20.6960","23.485715","650600.0000","0.0000","0.8812","35.732","-11.1020","1672585208"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 18:00:00","2023-01-01","Sunday","18-00-00","Off-Peak","1","125206800.000","20.0000","20.0000","22.921989","650600.0000","0.0000","0.8725","23.318","-11.1990","1672588808"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 19:00:00","2023-01-01","Sunday","19-00-00","Off-Peak","1","125222704.000","15.9040","15.9040","19.224953","650600.0000","0.0000","0.8273","23.313","-10.8010","1672592408"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 20:00:00","2023-01-01","Sunday","20-00-00","Off-Peak","1","125240296.000","17.5920","17.5920","20.799564","650600.0000","0.0000","0.8458","21.627","-11.0970","1672596008"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 21:00:00","2023-01-01","Sunday","21-00-00","Off-Peak","1","125258104.000","17.8080","17.8080","20.931432","650600.0000","0.0000","0.8508","21.627","-11.0000","1672599608"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 22:00:00","2023-01-01","Sunday","22-00-00","Off-Peak","1","125274800.000","16.6960","16.6960","19.993909","650600.0000","0.0000","0.8351","20.305","-11.0000","1672603208"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-01 23:00:00","2023-01-01","Sunday","23-00-00","Off-Peak","1","125291296.000","16.4960","16.4960","19.883974","650600.0000","0.0000","0.8296","20.305","-11.1020","1672606808"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-02 00:00:00","2023-01-02","Monday","00-00-00","Off-Peak","1","125307504.000","16.2080","16.2080","19.588243","650600.0000","0.0000","0.8274","19.585","-11.0000","1672610408"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-02 01:00:00","2023-01-02","Monday","01-00-00","Off-Peak","1","125323800.000","16.2960","16.2915","19.710078","650600.0000","0.0000","0.8266","19.903","-11.0939","1672614009"
"69110077","UCT School of Design - Essential Meter Main DB","2023-01-02 02:00:00","2023-01-02","Monday","02-00-00","Off-Peak","1","125341400.000","17.6000","17.6049","20.814780","650600.0000","0.0000","0.8458","21.254","-11.1051","1672617608"
