Timestamp;UCT - DSchool - Basics - UCT - DSchool Load Power [W] - P_LOAD;UCT - DSchool - Basics - UCT - DSchool Solar [W] - P_SOLAR;UCT - DSchool - Basics - UCT - DSchool Incomer Power [W] - P_INCOMER
2023-01-01 00:00:00;;;
2023-01-01 01:00:00;30676.458;0.000;30676.458
2023-01-01 02:00:00;31442.987;0.000;31442.987
2023-01-01 03:00:00;32089.296;0.000;32089.296
2023-01-01 04:00:00;49378.507;0.000;49378.507
2023-01-01 05:00:00;49875.515;0.000;49875.515
2023-01-01 06:00:00;48577.678;35.296;48542.382
2023-01-01 07:00:00;47971.949;2645.695;45326.255
2023-01-01 08:00:00;46669.709;11005.581;35664.128
2023-01-01 09:00:00;45206.976;24176.580;21030.396
2023-01-01 10:00:00;45428.450;36066.711;9361.740
2023-01-01 11:00:00;45625.348;44015.961;1609.387
2023-01-01 12:00:00;45465.386;48970.122;-3504.736
2023-01-01 13:00:00;45525.630;50049.180;-4523.551
2023-01-01 14:00:00;;;
2023-01-01 15:00:00;44411.240;47063.480;-2652.240
2023-01-01 16:00:00;44981.451;40960.010;4021.440
2023-01-01 17:00:00;32901.715;32020.924;880.792
2023-01-01 18:00:00;31981.083;19329.804;12651.279
2023-01-01 19:00:00;27966.979;5986.732;21980.247
2023-01-01 20:00:00;30059.820;414.591;29645.230
2023-01-01 21:00:00;32028.512;0.000;32028.512
2023-01-01 22:00:00;31425.311;0.000;31425.311
2023-01-01 23:00:00;30980.369;0.000;30980.369
2023-01-02 00:00:00;30867.048;0.000;30867.048
2023-01-02 01:00:00;30877.191;0.000;30877.191
2023-01-02 02:00:00;32101.233;0.000;32101.233
2023-01-02 03:00:00;33817.914;0.000;33817.914
2023-01-02 04:00:00;49331.822;0.000;49331.822
2023-01-02 05:00:00;49736.889;0.000;49736.889
2023-01-02 06:00:00;49954.426;26.878;49927.548
2023-01-02 07:00:00;48765.590;2452.216;46313.374
2023-01-02 08:00:00;47283.059;10609.881;36673.178
2023-01-02 09:00:00;45951.458;23180.432;22771.025
2023-01-02 10:00:00;46227.859;34528.879;11698.980
